9472	5634	1798	6667	9741	9486	4623	3860	5397	2068	7700	7191	7963	1823	6699	299	309	5942	3897	5179	60	6207	6981	5190	9798	6471	1610	5707	77	8525	3405	9553	2130	338	7764	3928	1116	1632	5218	9570	1890	6500	8295	2924	9075	2164	629	3958	1402	3709	7555	6277	5510	647	8329	6026	6029	1937	8081	8339	5009	2712	4248	7069	5533	2463	8353	2723	679	6312	1447	9130	7852	9136	1713	6836	8123	1468	9918	2238	7617	5828	3013	9929	8140	5837	4306	2259	219	1757	3037	9185	5362	6642	6643	2808	9465	9466	4603	6396
9476	7685	5895	9994	8721	3090	5905	3860	5397	2068	1819	28	2333	2337	546	3874	5410	7210	2603	6955	2606	303	8752	309	1846	6201	5179	7745	2115	324	327	1867	2126	8782	1367	2906	8287	1632	2913	5730	5986	6757	8295	5481	2924	365	1137	3186	9075	1906	2169	2690	7554	5508	6277	9608	6026	1674	395	9613	9874	8339	6547	2964	2712	7065	5530	4763	3483	6304	8867	1961	9130	7852	3247	9136	1713	179	1463	7161	9918	8128	4034	3013	2757	713	4813	8401	5841	6099	8149	6368	8420	7143	9706	7668	5112	9465	2042	4862
8448	1032	8717	5647	3088	7439	3860	5397	2068	1315	3876	6693	7973	9507	3624	809	9770	5163	309	5179	5181	4673	5705	5449	1104	3923	3669	2901	4695	1368	2137	1632	2657	3170	7011	8295	7273	6507	2924	8558	2673	9075	6260	6518	4219	5244	4989	9858	6277	646	2185	6026	1935	4242	8339	9365	4758	1686	2712	4761	927	2210	164	6053	6823	1960	9130	170	7852	5803	3500	9136	1713	690	8371	436	2491	9918	5567	3521	7364	3013	1479	9166	4558	6095	7383	6360	9946	5082	997	7916	5871	5106	9204	5112	9465	8955	3068	765
7429	7686	1039	3856	3860	5397	2068	1300	3864	7448	2076	1567	1314	5926	8238	558	2607	4398	5424	309	5179	3138	3651	839	73	1353	9547	4172	4687	6992	7249	5461	4694	5974	5215	1632	4191	8037	8295	7271	2411	2924	8050	9075	1652	8052	7802	8316	8832	5762	6277	3974	903	9095	6026	1166	5522	8339	2712	6555	9130	7852	7341	9136	1713	689	4277	4280	3769	2235	1724	9405	9918	9919	5059	3013	459	4043	5325	3534	7122	3796	9684	7383	7901	2783	3044	4584	3052	6895	4591	9713	7667	2039	6136	9465	6140	7933	4094	6911
6659	517	4620	3860	5397	2068	2583	2328	2075	6941	6952	3369	9259	1583	3887	309	567	8760	2873	5179	72	330	9805	5715	3156	5206	1632	5984	9572	1125	8295	4457	2924	9071	3696	6001	6002	9075	2675	629	5241	4219	2427	2429	9854	7553	8068	6277	9351	6026	9866	5260	2957	8339	2454	2712	8344	7327	4769	5027	9124	3240	425	9130	4010	7852	5547	9136	1713	9399	185	699	2749	9918	1728	3013	5063	3272	3273	9417	715	7627	6603	9681	4307	4820	8405	7127	7131	9700	7397	1254	232	2800	4592	3576	9465	1019	2812	509
1031	2570	10000	8721	7186	3860	5397	2068	8223	9768	3112	9258	3880	8748	1325	2096	2611	6708	309	1590	5429	5179	7230	5702	7751	7495	9292	8272	2643	4694	5466	1632	353	8295	2924	5741	7278	4463	9072	6511	626	9075	3964	637	3198	4226	8324	6277	6022	1928	6026	3723	5776	3474	8339	5268	2712	3736	9629	7582	1699	7844	4774	6311	9130	6314	7852	1195	6317	9136	1713	1202	3507	184	6584	8891	1724	9918	3521	9154	8900	3013	9671	4299	4812	4817	8153	2780	8414	9190	2791	4072	3818	5614	753	7923	4598	2039	1784	9465
4613	8200	3083	9996	2061	7695	3860	5397	2068	3354	9243	2589	3870	3362	1583	5168	2097	309	4149	54	1079	2869	6456	5179	3131	8769	1862	7499	9292	4173	6739	3162	1632	4194	8803	8295	103	8296	6249	2924	4209	9841	9075	4211	2684	9602	6277	7045	2437	6026	5261	5266	8339	7826	6803	2712	7576	2979	9125	8358	167	9130	682	7852	8366	9136	1713	2224	7856	8886	7866	1722	1979	9918	5311	9920	1470	964	3013	711	9418	9168	4560	3283	8659	7123	8918	2517	473	9695	6113	7652	6116	9702	4071	4842	1777	244	9465	1533
3842	7426	7430	6411	2060	5902	8977	2579	3860	5397	2068	6688	5668	8228	8999	298	5939	6451	309	5179	1598	62	5438	9029	2886	7494	3146	1874	3413	5462	4696	1632	3425	8295	3687	2924	4207	9330	9075	373	6774	2684	7294	3966	3457	6277	6537	6026	2699	4235	8073	8336	8339	9365	8342	8599	2712	8856	4250	9377	5026	2723	4771	936	937	9130	7852	684	9136	1713	434	9909	6073	7867	1213	9918	7358	6845	3006	3518	4545	1220	3013	961	4045	9171	9948	3293	6118	235	9712	5618	244	3573	6390	7415	2808	9465	5878	2557
2048	9217	9478	3081	3082	9482	1293	4371	3860	5397	2068	8730	9248	8489	7471	309	1589	3383	5179	3132	8259	2627	7237	3144	8777	3661	3577	2640	2129	4432	9811	7764	9300	8531	6743	3925	4189	6751	1632	5471	4196	5476	8295	4712	3837	1131	2924	3180	5740	8299	5484	2417	9075	3450	7803	6781	6277	9349	6021	6026	5117	8339	2195	2712	5273	6301	6303	4768	3999	423	7593	9130	4523	7852	4270	6574	9136	1713	6836	2485	9918	4031	1472	3013	463	8151	8671	4320	2016	7907	4587	6380	3821	3828	9973	9720	9465	762	5627	5373
5893	518	1294	8721	3860	5397	2068	791	3103	6438	8234	7981	1070	6446	3634	309	3383	5179	4923	2109	318	4676	326	586	2384	2899	6998	6234	2395	5212	1632	5732	7269	614	8295	9830	4969	9066	2924	1645	8302	9075	3959	8824	4471	2177	8065	2948	6277	6026	8587	2960	8339	8340	1687	2712	411	4253	5539	8105	9130	6570	7852	5292	5804	4526	9136	1713	7602	8628	1205	9140	951	7160	5818	9918	1727	2497	9666	3013	709	5071	979	4308	5338	2266	4828	9951	4832	7906	4330	4332	7934	8177	1266	1783	5368	9465	3322	766
